pass tile     nadir-lat-start(deg)     nadir-lon-start(deg)     nadir-hdg-start(deg) //Cal_orbit
0001 0001   -77.663122130000004972   -61.111472489999982827    90.000000000000000000
0001 0002   -77.647291330000015819   -58.210284989999991012    87.077333379999998897
0001 0003   -77.604637040000000070   -55.543165530000010222    84.390381360000006339
0001 0004   -77.535343240000003107   -52.900005890000045383    81.727405259999997611
0001 0005   -77.439850539999994794   -50.291531459999987419    79.099138179999997078
0001 0006   -77.318750320000006582   -47.727617350000002716    76.515462979999995241
0001 0007   -77.172767300000003843   -45.217095480000011776    73.985219299999997133
0001 0008   -77.002739230000003090   -42.767619239999987713    71.516068259999997281
0001 0009   -76.809595180000002301   -40.385587240000006659    69.114416210000015894
0001 0010   -76.594333379999994804   -38.076122419999990143    66.785393810000002190
0001 0011   -76.357999859999992509   -35.843101659999945241    64.532885669999998868
0001 0012   -76.101668489999980238   -33.689223799999979292    62.359598370000000500
0001 0013   -75.826423070000004145   -31.616107479999982388    60.267158270000003029
0001 0014   -75.533341980000002991   -29.624408319999986361    58.256228750000012440
0001 0015   -75.223485159999995631   -27.713945280000018556    56.326636480000004781
0001 0016   -74.897883830000012040   -25.883830129999978453    54.477500970000001246
0001 0017   -74.557532489999999825   -24.132592069999986961    52.707359169999996595
0001 0018   -74.203383049999999344   -22.458294650000027559    51.014282360000002825
0001 0019   -73.836340919999997823   -20.858642040000006546    49.395982439999997382
0001 0020   -73.457262719999988576   -19.331072750000032556    47.849905679999999109
0001 0021   -73.066955179999993675   -17.872840540000026976    46.373313580000001366
0001 0022   -72.666175219999999513   -16.481083150000017667    44.963351619999997411
0001 0023   -72.255630749999994578   -15.152879170000062459    43.617106139999997083
0001 0024   -71.835982169999994085   -13.885294359999988956    42.331650650000000269
0001 0025   -71.407844209999993268   -12.675418610000008357    41.104082779999998820
0001 0026   -70.971788169999996398   -11.520394739999971989    39.931553139999998336
0001 0027   -70.528344250000003512   -10.417440399999975398    38.811287100000001260
0001 0028   -70.078003989999999135    -9.363863970000011250    37.740600819999997384
0001 0029   -69.621222779999996533    -8.357075969999982590    36.716912589999999739
0001 0030   -69.158422340000001327    -7.394596389999946950    35.737750149999996552
0001 0031   -68.689992989999993256    -6.474058750000040163    34.800754799999999989
0001 0032   -68.216296070000012719    -5.593212020000009943    33.903683289999996475
0001 0033   -67.737665989999996441    -4.749920270000018263    33.044407470000003002
0001 0034   -67.254412329999993858    -3.942160989999990761    32.220912620000000004
0001 0035   -66.766821809999996162    -3.168022430000007716    31.431294760000007216
0001 0036   -66.275160009999993349    -2.425699870000016745    30.673756990000001110
0001 0037   -65.779672999999988292    -1.713491480000016054    29.946605259999994786
0001 0038   -65.280589030000001571    -1.029793980000022202    29.248244110000001683
0001 0039   -64.778119819999986362    -0.373097749999999451    28.577171719999995503
0001 0040   -64.272461920000012014     0.258017900000000078    27.931975220000001769
0001 0041   -63.763797940000003450     0.864889499999999978    27.311325919999998035
0001 0042   -63.252297579999996913     1.448774259999999980    26.713974440000001209
0001 0043   -62.738118759999991880     2.010854539999999968    26.138746260000001342
0001 0044   -62.221408470000000079     2.552242409999999850    25.584537160000000000
0001 0045   -61.702303679999999986     3.073983899999999991    25.050308969999999675
0001 0046   -61.180932050000009781     3.577063050000000022    24.535085509999998266
0001 0047   -60.657412739999998053     4.062405870000000085    24.037948669999998685
0001 0048   -60.131857040000006975     4.530883879999999309    23.558034790000000669
0001 0049   -59.604368930000006799     4.983317709999999678    23.094531170000003328
0001 0050   -59.075045649999999853     5.420480269999999656    22.646672790000000219
0001 0051   -58.543978260000010039     5.843099829999999884    22.213739310000001126
0001 0052   -58.011252059999996789     6.251862889999999950    21.795052179999995445
0001 0053   -57.476947020000004329     6.647416849999999933    21.389971930000005074
0001 0054   -56.941138189999996655     7.030372530000000175    20.997895710000001657
0001 0055   -56.403896000000003141     7.401306570000000917    20.618254870000001233
0001 0056   -55.865286679999996977     7.760763500000000370    20.250512870000001442
0001 0057   -55.325372479999998632     8.109257879999999474    19.894163150000000684
0001 0058   -54.784212029999999061     8.447276170000002082    19.548727289999998646
0001 0059   -54.241860580000000880     8.775278480000002546    19.213753239999999067
0001 0060   -53.698370099999998217     9.093700289999999242    18.888813559999999114
0001 0061   -53.153789719999998908     9.402953919999999854    18.573504020000001447
0001 0062   -52.608165800000001866     9.703430029999999817    18.267442100000000238
0001 0063   -52.061542090000003213     9.995498919999999288    17.970265580000003069
0001 0064   -51.513959980000009864    10.279511790000000815    17.681631440000000310
0001 0065   -50.965458669999996744    10.555801889999999688    17.401214589999998594
0001 0066   -50.416075179999999989    10.824685669999999149    17.128706799999999788
0001 0067   -49.865844699999996692    11.086463679999999599    16.863815720000001619
0001 0068   -49.314800489999996103    11.341421640000000082    16.606263909999999129
0001 0069   -48.762974139999997192    11.589831229999999707    16.355787939999999026
0001 0070   -48.210395689999998581    11.831950960000002127    16.112137640000000260
0001 0071   -47.657093590000009442    12.068026919999997659    15.875075229999996651
0001 0072   -47.103094979999994507    12.298293499999999767    15.644374719999998291
0001 0073   -46.548425590000000795    12.522974089999999947    15.419821100000001834
0001 0074   -45.993109959999998182    12.742281679999999611    15.201209840000002416
0001 0075   -45.437171489999997220    12.956419430000000403    14.988346229999995884
0001 0076   -44.880632439999999406    13.165581290000000436    14.781044870000000557
0001 0077   -44.323514060000000825    13.369952439999998717    14.579129110000002001
0001 0078   -43.765836640000003399    13.569709810000000871    14.382430619999999166
0001 0079   -43.207619530000002328    13.765022529999999534    14.190788890000000322
0001 0080   -42.648881279999997673    13.956052359999999268    14.004050859999999545
0001 0081   -42.089639560000001950    14.142954059999999217    13.822070469999999887
0001 0082   -41.529911309999995694    14.325875819999998484    13.644708330000000274
0001 0083   -40.969712780000001828    14.504959530000000711    13.471831339999999599
0001 0084   -40.409059469999995429    14.680341190000000040    13.303312390000000320
0001 0085   -39.847966309999989676    14.852151179999998121    13.139030019999999865
0001 0086   -39.286447610000003294    15.020514550000001464    12.978868159999999321
0001 0087   -38.724517030000001228    15.185551309999997471    12.822715829999999926
0001 0088   -38.162187819999999761    15.347376660000000115    12.670466929999999905
0001 0089   -37.599472609999999406    15.506101279999999321    12.522019919999999971
0001 0090   -37.036383569999998144    15.661831540000001439    12.377277669999999787
0001 0091   -36.472932479999997213    15.814669670000002455    12.236147219999999436
0001 0092   -35.909130570000002081    15.964714049999999546    12.098539549999999920
0001 0093   -35.344988769999993394    16.112059320000000184    11.964369440000002243
0001 0094   -34.780517549999991900    16.256796619999999365    11.833555249999998082
0001 0095   -34.215727029999996489    16.399013740000000894    11.706018750000000139
0001 0096   -33.650626989999999239    16.538795270000001381    11.581685009999999281
0001 0097   -33.085226859999998794    16.676222769999998974    11.460482180000001406
0001 0098   -32.519535759999996571    16.811374929999999495    11.342341400000002238
0001 0099   -31.953562549999997344    16.944327659999999014    11.227196649999999778
0001 0100   -31.387315720000000141    17.075154279999999574    11.114984620000001314
0001 0101   -30.820803579999996202    17.203925600000005147    11.005644560000000354
0001 0102   -30.254034159999996234    17.330710029999998767    10.899118249999999009
0001 0103   -29.687015189999993225    17.455573739999998395    10.795349780000000450
0001 0104   -29.119754230000001627    17.578580740000003146    10.694285550000000029
0001 0105   -28.552258630000000750    17.699792949999999081    10.595874099999999629
0001 0106   -27.984535460000000029    17.819270339999999209    10.500066059999998203
0001 0107   -27.416591700000001453    17.937070989999998716    10.406814060000000310
0001 0108   -26.848434019999995570    18.053251209999999105    10.316072619999999915
0001 0109   -26.280068979999995804    18.167865580000000847    10.227798110000001941
0001 0110   -25.711502999999996888    18.280967050000000995    10.141948630000001685
0001 0111   -25.142742250000001292    18.392607019999999807    10.058483999999999980
0001 0112   -24.573792839999999416    18.502835399999998600     9.977365640000002145
0001 0113   -24.004660650000001709    18.611700660000000340     9.898556539999999515
0001 0114   -23.435351470000004070    18.719249959999999078     9.822021169999997525
0001 0115   -22.865870950000001471    18.825529110000001509     9.747725470000000669
0001 0116   -22.296224599999998617    18.930582730000001135     9.675636730000000796
0001 0117   -21.726417839999999870    19.034454239999998748     9.605723610000001855
0001 0118   -21.156455950000001565    19.137185910000003020     9.537956050000000019
0001 0119   -20.586344079999996382    19.238818999999999448     9.472305229999999909
0001 0120   -20.016087360000000217    19.339393659999995378     9.408743519999999805
0001 0121   -19.445690729999999036    19.438949139999998295     9.347244449999999816
0001 0122   -18.875159050000000605    19.537523700000001270     9.287782690000000230
0001 0123   -18.304497170000001205    19.635154730000000001     9.230333959999999394
0001 0124   -17.733709770000000816    19.731878779999998841     9.174875050000000698
0001 0125   -17.162801500000000487    19.827731579999998246     9.121383740000000628
0001 0126   -16.591776910000000100    19.922748070000000808     9.069838810000000251
0001 0127   -16.020640459999999194    20.016962509999999043     9.020219980000000248
0001 0128   -15.449396610000000862    20.110408389999999912     8.972507889999999264
0001 0129   -14.878049680000000166    20.203118599999999816     8.926684090000000182
0001 0130   -14.306603969999999393    20.295125360000000114     8.882730969999999004
0001 0131   -13.735063739999999299    20.386460310000000362     8.840631789999999768
0001 0132   -13.163433120000000542    20.477154500000001036     8.800370620000000699
0001 0133   -12.591716269999997380    20.567238470000003048     8.761932330000000491
0001 0134   -12.019917270000000542    20.656742220000001709     8.725302590000000080
0001 0135   -11.448040119999999931    20.745695309999998557     8.690467789999999582
0001 0136   -10.876088850000000363    20.834126789999999119     8.657415110000000524
0001 0137   -10.304067379999999332    20.922065320000001520     8.626132419999999357
0001 0138    -9.731979640000000487    21.009539159999999214     8.596608310000000586
0001 0139    -9.159829510000001562    21.096576160000001465     8.568832069999999135
0001 0140    -8.587620819999999711    21.183203849999998170     8.542793680000000833
0001 0141    -8.015357370000002035    21.269449410000000000     8.518483749999999688
0001 0142    -7.443042959999998764    21.355339730000000742     8.495893600000002266
0001 0143    -6.870681349999999910    21.440901390000000504     8.475015150000000830
0001 0144    -6.298276259999999738    21.526160740000001681     8.455840979999999618
0001 0145    -5.725831409999999622    21.611143869999999367     8.438364280000000051
0001 0146    -5.153350480000001177    21.695876649999998875     8.422578859999999779
0001 0147    -4.580837149999999802    21.780384760000000455     8.408479149999999791
0001 0148    -4.008295069999999960    21.864693710000000948     8.396060180000000983
0001 0149    -3.435727879999999956    21.948828819999999240     8.385317549999999898
0001 0150    -2.863139219999999874    22.032815320000000980     8.376247479999999968
0001 0151    -2.290532670000000603    22.116678300000000235     8.368846760000000273
0001 0152    -1.717911900000000047    22.200442729999998903     8.363112770000002527
0001 0153    -1.145280459999999945    22.284133549999999957     8.359043460000000536
0001 0154    -0.572641960000000005    22.367775610000002473     8.356637360000000569
0001 0155    -0.000000010000000000    22.451393729999999493     8.355893580000000043
0001 0156     0.572641839999999958    22.535012710000000169     8.356811779999999246
0001 0157     1.145279949999999936    22.618657339999998612     8.359392229999999202
0001 0158     1.717910730000000052    22.702352449999999351     8.363635730000000379
0001 0159     2.290530640000000062    22.786122899999998737     8.369543690000000424
0001 0160     2.863136019999999782    22.869993599999997258     8.377118080000000688
0001 0161     3.435723280000000379    22.953989530000001196     8.386361439999999945
0001 0162     4.008288819999999752    23.038135799999999165     8.397276910000000427
