pass tile     nadir-lat-start(deg)     nadir-lon-start(deg)     nadir-hdg-start(deg) //Nom_orbit
0001 0001   -77.662869169999979135   -83.347344750000047497    90.000000000000000000
0001 0002   -77.647436619999993468   -80.483176529999980175    87.114009899999999220
0001 0003   -77.605144559999999387   -77.815862310000056823    84.426285789999994336
0001 0004   -77.536202979999998774   -75.172360910000008971    81.762390550000006328
0001 0005   -77.441050439999983723   -72.563410630000021229    79.133070270000004598
0001 0006   -77.320276579999998035   -69.998901970000076744    76.548223169999985771
0001 0007   -77.174604639999998312   -67.487684059999992314    74.016706179999999904
0001 0008   -77.004871259999987387   -65.037428789999978562    71.546198930000002747
0001 0009   -76.812004700000002799   -62.654553140000018630    69.143126179999995884
0001 0010   -76.597002689999996505   -60.344198160000019016    66.812636720000000423
0001 0011   -76.360911079999993945   -58.110257779999983541    64.558632279999997650
0001 0012   -76.104803790000005392   -55.955446150000057060    62.383834739999997510
0001 0013   -75.829764919999988138   -53.881395520000069155    60.289884139999998069
0001 0014   -75.536873279999994679   -51.888773270000058346    58.277455609999989861
0001 0015   -75.227189460000005283   -49.977408309999987068    56.346385840000003498
0001 0016   -74.901745349999984569   -48.146420139999975163    54.495802099999998802
0001 0017   -74.561536230000001524   -46.394344100000012077    52.724247490000003324
0001 0018   -74.207514870000011342   -44.719248590000006516    51.029798190000001057
0001 0019   -73.840587519999999699   -43.118840920000025108    49.410169269999997255
0001 0020   -73.461611629999993056   -41.590561630000081550    47.862809059999989358
0001 0021   -73.071394810000001030   -40.131665720000000874    46.384980339999998478
0001 0022   -72.670694760000017709   -38.739291110000010576    44.973828799999999717
0001 0023   -72.260220189999984086   -37.410516120000011142    43.626440530000003548
0001 0024   -71.840632240000005027   -36.142405619999919963    42.339888199999990093
0001 0025   -71.412546349999999507   -34.932048310000027413    41.111268279999997333
0001 0026   -70.976534499999999639   -33.776585560000000896    39.937729939999996986
0001 0027   -70.533127449999980740   -32.673233149999987290    38.816496739999998056
0001 0028   -70.082817380000008711   -31.619297809999920901    37.744883219999998403
0001 0029   -69.626060199999997735   -30.612188109999976859    36.720305719999998928
0001 0030   -69.163278089999991494   -29.649422070000014173    35.740290070000000355
0001 0031   -68.694861869999996884   -28.728631370000016432    34.802475770000000921
0001 0032   -68.221173260000000482   -27.847563009999987571    33.904617620000003342
0001 0033   -67.742547070000000531   -27.004079270000033830    33.044585689999998124
0001 0034   -67.259293249999998920   -26.196155879999992067    32.220363560000002678
0001 0035   -66.771698830000005387   -25.421879400000022997    31.430045570000000765
0001 0036   -66.280029670000004671   -24.679443429999992077    30.671833190000000968
0001 0037   -65.784532159999997702   -23.967144700000005741    29.944030950000001923
0001 0038   -65.285434769999994842   -23.283378410000011627    29.245041910000001195
0001 0039   -64.782949479999999198   -22.626633610000055796    28.573362949999999927
0001 0040   -64.277273009999987607   -21.995488309999984722    27.927579930000000275
0001 0041   -63.768588170000001014   -21.388604769999972177    27.306362960000001294
0001 0042   -63.257064890000002322   -20.804724700000008397    26.708461620000001346
0001 0043   -62.742861179999998456   -20.242664599999955044    26.132700299999999771
0001 0044   -62.226124239999990095   -19.701311490000023241    25.577973879999998275
0001 0045   -61.706991150000000346   -19.179618409999989126    25.043243289999999490
0001 0046   -61.185589719999995850   -18.676600430000007691    24.527531499999998488
0001 0047   -60.662039200000002381   -18.191330750000076932    24.029919629999998421
0001 0048   -60.136451010000001816   -17.722937120000040068    23.549543329999995223
0001 0049   -59.608929199999991511   -17.270598189999986971    23.085589190000000315
0001 0050   -59.079571139999998763   -16.833540410000011889    22.637291590000000241
0001 0051   -58.548467969999997251   -16.411034920000020065    22.203929639999998358
0001 0052   -58.015705059999994830   -16.002394659999993110    21.784824229999998124
0001 0053   -57.481362429999997232   -15.606971669999950336    21.379335390000001382
0001 0054   -56.945515219999997214   -15.224154650000059519    20.986859799999997733
0001 0055   -56.408233930000001521   -14.853366540000081386    20.606828409999998541
0001 0056   -55.869584830000000863   -14.494062340000027689    20.238704259999998669
0001 0057   -55.329630250000001013   -14.145727109999995719    19.881980429999995152
0001 0058   -54.788428860000003340   -13.807874029999993581    19.536178159999995074
0001 0059   -54.246035910000003355   -13.480042630000014015    19.200845060000002462
0001 0060   -53.702503489999998010   -13.161797100000001137    18.875553400000004700
0001 0061   -53.157880720000001418   -12.852724820000048567    18.559898690000000698
0001 0062   -52.612214000000001590   -12.552434860000005301    18.253498119999999716
0001 0063   -52.065547130000005893   -12.260556640000004336    17.955989269999996338
0001 0064   -51.517921549999989850   -11.976738720000014382    17.667028880000000157
0001 0065   -50.969376459999999440   -11.700647610000032728    17.386291650000000431
0001 0066   -50.419948920000003056   -11.431966660000000502    17.113469150000000241
0001 0067   -49.869674129999999934   -11.170395080000048438    16.848268869999994735
0001 0068   -49.318585389999995527   -10.915646990000084315    16.590413180000002313
0001 0069   -48.766714340000007155   -10.667450529999996434    16.339638529999998440
0001 0070   -48.214090960000000052   -10.425546989999986636    16.095694550000001044
0001 0071   -47.660743830000001253   -10.189690159999997832    15.858343400000000756
0001 0072   -47.106699999999996464    -9.959645469999998113    15.627358879999999175
0001 0073   -46.551985289999997519    -9.735189400000024307    15.402525930000001253
0001 0074   -45.996624240000002715    -9.516108830000007401    15.183639880000001199
0001 0075   -45.440640279999989559    -9.302200480000010430    14.970505949999999729
0001 0076   -44.884055650000000526    -9.093270280000069761    14.762938600000000022
0001 0077   -44.326891629999998656    -8.889132930000073429    14.560761120000002222
0001 0078   -43.769168510000000083    -8.689611409999940861    14.363805089999999609
0001 0079   -43.210905689999997037    -8.494536470000014106    14.171909940000000816
0001 0080   -42.652121680000007586    -8.303746279999984381    13.984922510000000528
0001 0081   -42.092834179999996991    -8.117085970000005091    13.802696700000000263
0001 0082   -41.533060200000001316    -7.934407309999983227    13.625093050000000261
0001 0083   -40.972815889999999683    -7.755568270000082975    13.451978400000001557
0001 0084   -40.412116839999995932    -7.580432819999998628    13.283225590000000693
0001 0085   -39.850977950000000760    -7.408870490000026621    13.118713109999998068
0001 0086   -39.289413539999998193    -7.240756169999997383    12.958324850000000339
0001 0087   -38.727437299999998288    -7.075969789999930981    12.801949779999999279
0001 0088   -38.165062450000000638    -6.914396080000017264    12.649481740000000585
0001 0089   -37.602301679999996509    -6.755924310000011701    12.500819200000000464
0001 0090   -37.039167119999994782    -6.600448060000019268    12.355864970000002501
0001 0091   -36.475670550000003800    -6.447865040000010595    12.214526049999999913
0001 0092   -35.911823270000006403    -6.298076840000021548    12.076713409999999982
0001 0093   -35.347636120000004212    -6.150988740000002508    11.942341790000000401
0001 0094   -34.783119620000000793    -6.006509579999999460    11.811329510000001974
0001 0095   -34.218283919999997522    -5.864551539999922625    11.683598359999999516
0001 0096   -33.653138769999998203    -5.725029959999972107    11.559073350000000246
0001 0097   -33.087693620000003136    -5.587863260000005994    11.437682629999999406
0001 0098   -32.521957590000006633    -5.452972709999983181    11.319357319999999945
0001 0099   -31.955939510000000325    -5.320282360000021527    11.204031369999999157
0001 0100   -31.389647930000002418    -5.189718869999978779    11.091641459999999952
0001 0101   -30.823091120000000842    -5.061211399999990590    10.982126839999997614
0001 0102   -30.256277109999999197    -4.934691489999977421    10.875429260000000653
0001 0103   -29.689213639999998406    -4.810092940000060935    10.771492800000000756
0001 0104   -29.121908309999994913    -4.687351739999996880    10.670263860000000378
0001 0105   -28.554368400000001316    -4.566405929999973523    10.571690959999999748
0001 0106   -27.986601069999998970    -4.447195519999979751    10.475724729999999596
0001 0107   -27.418613170000000423    -4.329662390000009964    10.382317779999999274
0001 0108   -26.850411499999996323    -4.213750220000008540    10.291424629999998075
0001 0109   -26.282002580000000336    -4.099404420000041682    10.203001639999998318
0001 0110   -25.713392779999999505    -3.986571990000015830    10.117006910000000630
0001 0111   -25.144588339999998539    -3.875201530000026651    10.033400249999999687
0001 0112   -24.575595329999998739    -3.765243110000028537     9.952143069999999980
0001 0113   -24.006419619999999071    -3.656648220000022320     9.873198359999999951
0001 0114   -23.437067020000000639    -3.549369720000015604     9.796530589999999705
0001 0115   -22.867543210000000897    -3.443361750000065058     9.722105689999999356
0001 0116   -22.297853660000001241    -3.338579700000025241     9.649890969999999513
0001 0117   -21.728003770000000827    -3.234980109999980868     9.579855050000000816
0001 0118   -21.157998849999998470    -3.132520699999986391     9.511967900000000142
0001 0119   -20.587844090000000818    -3.031160220000003847     9.446200669999999633
0001 0120   -20.017544510000000457    -2.930858460000024479     9.382525749999999221
0001 0121   -19.447105119999999800    -2.831576199999972232     9.320916659999999965
0001 0122   -18.876530809999998439    -2.733275139999989278     9.261348070000000376
0001 0123   -18.305826360000001074    -2.635917889999973340     9.203795700000000579
0001 0124   -17.734996479999995955    -2.539467880000017885     9.148236340000002187
0001 0125   -17.164045819999998344    -2.443889389999981177     9.094647769999999909
0001 0126   -16.592978909999999360    -2.349147430000016357     9.043008770000000140
0001 0127   -16.021800240000001025    -2.255207760000018880     8.993299060000000011
0001 0128   -15.450514220000000520    -2.162036860000000615     8.945499279999999942
0001 0129   -14.879125219999998819    -2.069601850000083232     8.899590970000000212
0001 0130   -14.307637509999999281    -1.977870479999978670     8.855556529999999427
0001 0131   -13.736055350000002662    -1.886811120000004394     8.813379219999999847
0001 0132   -13.164382879999999787    -1.796392690000004677     8.773043119999998751
0001 0133   -12.592624230000000196    -1.706584650000024794     8.734533089999999333
0001 0134   -12.020783480000000409    -1.617356989999962025     8.697834780000000876
0001 0135   -11.448864690000000621    -1.528680150000013782     8.662934630000000524
0001 0136   -10.876871810000000806    -1.440525060000027224     8.629819769999999224
0001 0137   -10.304808789999997387    -1.352863049999996292     8.598478100000001234
0001 0138    -9.732679570000000169    -1.265665860000012799     8.568898210000002180
0001 0139    -9.160487990000000025    -1.178905629999974281     8.541069390000000539
0001 0140    -8.588237890000000263    -1.092554809999967347     8.514981600000000483
0001 0141    -8.015933090000000760    -1.006586229999982152     8.490625480000000280
0001 0142    -7.443577399999999678    -0.920972989999938818     8.467992320000000461
0001 0143    -6.871174510000000346    -0.835688479999987521     8.447074069999997548
0001 0144    -6.298728190000000282    -0.750706379999996898     8.427863280000000401
0001 0145    -5.726242129999999264    -0.666000559999986308     8.410353170000000489
0001 0146    -5.153720060000000380    -0.581545170000026701     8.394537550000000792
0001 0147    -4.581165580000001292    -0.497314500000015869     8.380410830000000644
0001 0148    -4.008582389999999940    -0.413283050000018193     8.367968039999999164
0001 0149    -3.435974120000000021    -0.329425469999989673     8.357204800000001654
0001 0150    -2.863344380000000022    -0.245716539999989436     8.348117309999999236
0001 0151    -2.290696790000000149    -0.162131180000017139     8.340702379999999749
0001 0152    -1.718034969999999939    -0.078644369999949504     8.334957380000000526
0001 0153    -1.145362510000000000     0.004768800000000000     8.330880260000000703
0001 0154    -0.572682970000000013     0.088133190000000000     8.328469560000000271
0001 0155    -0.000000000000000000     0.171473650000000005     8.327724370000000320
0001 0156     0.572682849999999966     0.254814959999999979     8.328644360000000191
0001 0157     1.145361979999999891     0.338181940000000014     8.331229799999997354
0001 0158     1.718033839999999923     0.421599410000000008     8.335481500000000210
0001 0159     2.290694760000000052     0.505092239999999970     8.341400860000000250
0001 0160     2.863341199999999809     0.588685349999999996     8.348989839999999774
0001 0161     3.435969539999999878     0.672403729999999977     8.358250990000000158
0001 0162     4.008576159999999611     0.756272489999999964     8.369187450000000084
0001 0163     4.581157450000000075     0.840316839999999954     8.381802929999999208
0001 0164     5.153709749999999978     0.924562120000000043     8.396101740000000646
0001 0165     5.726229440000000004     1.009033829999999909     8.412088769999998661
0001 0166     6.298712789999999728     1.093757669999999793     8.429769540000000561
0001 0167     6.871156200000000602     1.178759509999999899     8.449150150000001247
0001 0168     7.443555879999999014     1.264065449999999924     8.470237329999999787
0001 0169     8.015908140000000515     1.349701819999999941     8.493038439999999412
0001 0170     8.588209230000000360     1.435695229999999878     8.517561459999997808
0001 0171     9.160455369999999320     1.522072569999999958     8.543815029999999311
0001 0172     9.732642739999999293     1.608861019999999753     8.571808449999998913
0001 0173    10.304767489999999697     1.696088089999999937     8.601551660000000155
0001 0174    10.876825759999999121     1.783781669999999986     8.633055320000000421
0001 0175    11.448813649999998177     1.871970009999999851     8.666330750000000194
0001 0176    12.020727190000000562     1.960681749999999779     8.701389999999999958
0001 0177    12.592562420000000145     2.049945989999999885     8.738245850000000203
0001 0178    13.164315269999999458     2.139792250000000173     8.776911800000000596
0001 0179    13.735981699999999961     2.230250559999999993     8.817402149999999494
0001 0180    14.307557570000000169     2.321351449999999428     8.859731939999999639
