Elev (deg)	HE SNRmargin (m)
0.18	1.785422617
0.19005	1.846071815
0.2001	1.903730526
0.21015	1.958533253
0.2202	2.010874954
0.23025	2.061390251
0.2403	2.110348126
0.25035	2.157820434
0.2604	2.203729863
0.27045	2.247519258
0.2805	2.288761419
0.29055	2.327017333
0.3006	2.362018568
0.31065	2.393998776
0.3207	2.423473811
0.33075	2.451117347
0.3408	2.477396867
0.35085	2.502903045
0.3609	2.527649168
0.37095	2.551528657
0.381	2.574077526
0.39105	2.594702068
0.4011	2.61318776
0.41115	2.629318227
0.4212	2.643427298
0.43125	2.655842462
0.4413	2.667330411
0.45135	2.67832863
0.4614	2.689243452
0.47145	2.700147655
0.4815	2.71066241
0.49155	2.720465561
0.5016	2.729137913
0.51165	2.73627048
0.5217	2.741908084
0.53175	2.746110145
0.5418	2.749385944
0.55185	2.75225982
0.5619	2.755234456
0.57195	2.758449119
0.582	2.761997133
0.59205	2.765513468
0.6021	2.768763178
0.61215	2.771227876
0.6222	2.772694801
0.63225	2.773087595
0.6423	2.77257256
0.65235	2.771514243
0.6624	2.770421076
0.67245	2.769627126
0.6825	2.769297348
0.69255	2.769448789
0.7026	2.769813641
0.71265	2.770023782
0.7227	2.769678705
0.73275	2.768658591
0.7428	2.766901688
0.75285	2.764470915
0.7629	2.761746628
0.77295	2.759163121
0.783	2.757024665
0.79305	2.755386769
0.8031	2.754292506
0.81315	2.753477472
0.8232	2.752626491
0.83325	2.751427724
0.8433	2.749655669
0.85335	2.747300785
0.8634	2.744513585
0.87345	2.741576274
0.8835	2.738841398
0.89355	2.736596775
0.9036	2.734892009
0.91365	2.733701467
0.9237	2.732838974
0.93375	2.731950102
0.9438	2.730764031
0.95385	2.729123605
0.9639	2.727022151
0.97395	2.72463677
0.984	2.722219778
0.99405	2.720018605
1.0041	2.718315919
1.01415	2.717169031
1.0242	2.716472859
1.03425	2.716048937
1.0443	2.715649713
1.05435	2.715050717
1.0644	2.714081432
1.07445	2.712691771
1.0845	2.711070087
1.09455	2.709469392
1.1046	2.708148345
1.11465	2.707289072
1.1247	2.70696754
1.13475	2.70708375
1.1448	2.707456557
1.15485	2.707846307
1.1649	2.708009434
1.17495	2.707879259
1.185	2.707426944
1.19505	2.706797313
1.2051	2.706237925
1.21515	2.705922921
1.2252	2.706060293
1.23525	2.706713453
1.2453	2.707776695
1.25535	2.709077438
1.2654	2.710411763
1.27545	2.711579021
1.2855	2.712418082
1.29555	2.712982015
1.3056	2.713404067
1.31565	2.713905174
1.3257	2.714707438
1.33575	2.715946396
1.3458	2.717678826
1.35585	2.71978882
1.3659	2.722114229
1.37595	2.724446867
1.386	2.726601893
1.39605	2.728491299
1.4061	2.730129558
1.41615	2.731667697
1.4262	2.733304629
1.43625	2.735237978
1.4463	2.73762439
1.45635	2.740473244
1.4664	2.743675152
1.47645	2.747060702
1.4865	2.750477264
1.49655	2.753710659
1.5066	2.756673729
1.51665	2.759412225
1.5267	2.762122059
1.53675	2.764932946
1.5468	2.768041739
1.55685	2.771577314
1.5669	2.775560672
1.57695	2.779904787
1.587	2.784435187
1.59705	2.788915206
1.6071	2.793271153
1.61715	2.79741176
1.6272	2.801300164
1.63725	2.805169891
1.6473	2.809205184
1.65735	2.813536616
1.6674	2.81824515
1.67745	2.823445567
1.6875	2.828981732
1.69755	2.834644135
1.7076	2.840339416
1.71765	2.845859111
1.7277	2.85114011
1.73775	2.856282395
1.7478	2.861366373
1.75785	2.866607505
1.7679	2.872215772
1.77795	2.87823487
1.788	2.884666748
1.79805	2.891460816
1.8081	2.898398684
1.81815	2.905329538
1.8282	2.91207003
1.83825	2.918639939
1.8483	2.9250484
1.85835	2.931456493
1.8684	2.938008097
1.87845	2.944944219
1.8885	2.952309716
1.89855	2.960105253
1.9086	2.96822547
1.91865	2.97648333
1.9287	2.984742166
1.93875	2.992868121
1.9488	3.000731883
1.95885	3.008488148
1.9689	3.016276734
1.97895	3.02429055
1.989	3.03261274
1.99905	3.041434374
2.0091	3.05071665
2.01915	3.060277007
2.0292	3.070039311
2.03925	3.079754307
2.0493	3.089277122
2.05935	3.09865587
2.0694	3.107897436
2.07945	3.117192403
2.0895	3.126744753
2.09955	3.136696615
2.1096	3.14706175
2.11965	3.157971633
2.1297	3.169179135
2.13975	3.180540186
2.1498	3.191855135
2.15985	3.202978844
2.1699	3.213974082
2.17995	3.224846804
2.19	3.235868629
2.20005	3.247118605
2.2101	3.258807666
2.22015	3.27101192
2.2302	3.28366681
2.24025	3.296699112
2.2503	3.309834809
2.26035	3.322993794
2.2704	3.335972236
2.28045	3.348774749
2.2905	3.361544515
2.30055	3.374427131
2.3106	3.387581747
2.32065	3.40128422
2.3307	3.415475932
2.34075	3.430218228
2.3508	3.445299245
2.36085	3.460561828
2.3709	3.47573219
2.38095	3.490799674
2.391	3.505712168
2.40105	3.520619884
2.4111	3.535676174
2.42115	3.551057314
2.4312	3.567033632
2.44125	3.583553382
2.4513	3.600665384
2.46135	3.618141077
2.4714	3.635759543
2.48145	3.653359773
2.4915	3.670808985
2.50155	3.68813477
2.5116	3.705546177
2.52165	3.723095544
2.5317	3.741101774
2.54175	3.759758305
2.5518	3.779014971
2.56185	3.798846684
2.5719	3.819080137
2.58195	3.839484005
2.592	3.859892728
2.60205	3.880181563
2.6121	3.90041687
2.62215	3.92067448
2.6322	3.941243019
2.64225	3.962277151
2.6523	3.984038264
2.66235	4.006470406
2.6724	4.029566896
2.68245	4.05316152
2.6925	4.076898494
2.70255	4.100660974
2.7126	4.124336669
2.72265	4.147989802
