Elev (deg)	HE SNRmargin (m)
0.18	14.16950568
0.19005	14.65779057
0.2001	15.11400088
0.21015	15.54002637
0.2202	15.94019095
0.23025	16.32107462
0.2403	16.68558483
0.25035	17.03463867
0.2604	17.36765142
0.27045	17.67930994
0.2805	17.96556742
0.29055	18.2222577
0.3006	18.44688423
0.31065	18.64185585
0.3207	18.81232232
0.33075	18.96494948
0.3408	19.1043659
0.35085	19.23637755
0.3609	19.36115133
0.37095	19.47768645
0.381	19.58151643
0.39105	19.66693471
0.4011	19.73192995
0.41115	19.77448347
0.4212	19.79790213
0.43125	19.80541817
0.4413	19.80447959
0.45135	19.79932946
0.4614	19.7938887
0.47145	19.78885686
0.4815	19.78060297
0.49155	19.76605799
0.5016	19.74124356
0.51165	19.70230308
0.5217	19.6497271
0.53175	19.58414499
0.5418	19.51045446
0.55185	19.43366483
0.5619	19.35854673
0.57195	19.28640647
0.582	19.21810775
0.59205	19.15019587
0.6021	19.08046189
0.61215	19.00405624
0.6222	18.91902536
0.63225	18.82470616
0.6423	18.72270431
0.65235	18.61645791
0.6624	18.51071263
0.67245	18.4085599
0.6825	18.31150207
0.69255	18.21966476
0.7026	18.13055163
0.71265	18.04076651
0.7227	17.94664593
0.73275	17.8471244
0.7428	17.74167689
0.75285	17.63091885
0.7629	17.51834138
0.77295	17.40789053
0.783	17.3022997
0.79305	17.20203481
0.8031	17.10744509
0.81315	17.01612047
0.8232	16.92522007
0.83325	16.83196041
0.8433	16.734354
0.85335	16.63235059
0.8634	16.52731788
0.87345	16.42177214
0.8835	16.31882187
0.89355	16.22097371
0.9036	16.1286221
0.91365	16.04150024
0.9237	15.95794624
0.93375	15.87485435
0.9438	15.78987558
0.95385	15.70166801
0.9639	15.6102012
0.97395	15.51702426
0.984	15.42431353
0.99405	15.33417899
1.0041	15.24900646
1.01415	15.1692413
1.0242	15.09394876
1.03425	15.02158473
1.0443	14.95003992
1.05435	14.87742181
1.0644	14.80231074
1.07445	14.72430912
1.0845	14.64501021
1.09455	14.56652617
1.1046	14.49099152
1.11465	14.41988435
1.1247	14.35379215
1.13475	14.29185148
1.1448	14.23254424
1.15485	14.1738911
1.1649	14.11390227
1.17495	14.05204631
1.185	13.98810442
1.19505	13.92326294
1.2051	13.85952218
1.21515	13.79827027
1.2252	13.74115081
1.23525	13.68863503
1.2453	13.63984273
1.25535	13.59337229
1.2654	13.54758859
1.27545	13.50089943
1.2855	13.45204081
1.29555	13.40144594
1.3056	13.35017206
1.31565	13.29995057
1.3257	13.25250322
1.33575	13.20886049
1.3458	13.16943174
